Index,ID,User_ID,Friends_Count,Followers_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
1,1094629879751028737,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,2,0,2019-02-10 16:11:15,"Roads are going to be treacherous in Fulton, Warren, Washington and parts of Saratoga counties Tuesday into Wednesd… https://t.co/NEnc6viRl3"
2,1094618070524538880,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,6,4,2019-02-10 15:24:19,"""What am I guilty of? Running away while black?"" @PaulGrondahl takes a deep look at the shooting of Ellazar William… https://t.co/UbYl9gk4tt"
3,1094038027817664512,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,2,2,2019-02-09 00:59:26,Who are Albany's top red-light camera offenders? https://t.co/Nl24Vq0vRI
4,1093947331043561478,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,3,0,2019-02-08 18:59:02,"Ex-Troy City Council candidate  admits she used racial slur to greet people at local Little League games, left the… https://t.co/wiyGhgzJUX"
5,1093899589999038464,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,3,2,2019-02-08 15:49:20,One third of Cohoes could lose water as the city confronts a major break in a water main.  https://t.co/GB4bLpZSdV
6,1093576632084938758,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,1,2,2019-02-07 18:26:01,.@NewYorkStateAG says South Glens Falls woman bilked dozens of home buyers. @wendyliberatore  reports: https://t.co/G1PqNdaUqK
7,1093192375143464960,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,2,1,2019-02-06 16:59:07,He allegedly wanted to set up a drug deal. He called the police  https://t.co/AaUOJgO6hC
8,1093140735896051712,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,3,1,2019-02-06 13:33:55,"Shahed Hussain, the operator of the limo company involved in the deadly Schoharie crash, is living in Dubai, a lawy… https://t.co/NyjhbTvRka"
9,1093119985570988032,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,1,2,2019-02-06 12:11:28,The mid-winter warm-up is over. A mix of rain and freezing rain is threatening to make Wednesday evening's drive a… https://t.co/I55Nm7DlfP
10,1093118792979365888,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,2,0,2019-02-06 12:06:44,All lanes of Route 7 are reopened after an early morning crash closed the intersection with Vly Road in Colonie. https://t.co/4WcVIczY9z
11,1093110862099947521,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,3,1,2019-02-06 11:35:13,The intersection of Vly Road and Route 7 at the Colonie/Niskayuna line is closed by a crash. Traffic being detoured… https://t.co/mnNv0ONYco
12,1092825872002895872,17448662,2157,98766,462,1118,64722,2008-11-17 19:56:47,5,8,2019-02-05 16:42:46,Get away from the Concourse — here is our 2019 Capitol lunch guide: https://t.co/1WGEwXZGY4
