Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,chicagotribune,https://www.chicagotribune.com/entertainment/music/ct-grammy-2019-predictions-greg-kot-20190204-photogallery.html,,0,NA,NA
2,chicagotribune,https://www.chicagotribune.com/lifestyles/travel/sc-trav-nebraska-crane-migration-0205-story.html,"February 8, 2019, 8:45 AM 2019-02-08T08:45:00CST",1,More than a half-million sandhill cranes stop in Nebraska each year as they migrate north. Peak season for this magical spectacle is mid- to late March. Chicago Tribune photojournalist E. Jason Wambsgans reveals the beauty and magic of these majestic travelers.,NA
3,chicagotribune,https://www.chicagotribune.com/business/ct-biz-binding-arbitration-unexpected-medical-bills-20190207-story.html,"February 7, 2019, 10:00 AM 2019-02-07T10:00:00CST",1,NA,Michael Dwyer/AP 2016
4,chicagotribune,https://www.chicagotribune.com/news/local/breaking/ct-met-charges-dismissed-ronald-watts-20190210-story.html,"February 11, 2019, 3:45 PM 2019-02-11T15:45:00CST",1,NA,Antonio Perez/Chicago Tribune
5,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-amy-klobuchar-2020-presidential-election-20190210-story.html,"February 10, 2019, 4:45 PM 2019-02-10T16:45:00CST",2,"Democratic Sen. Amy Klobuchar, laughs as she addresses a snowy rally where she announced she is entering the race for president on Feb. 10, 2019, at Boom Island Park in Minneapolis.",Jim Mone/AP
5,chicagotribune,,,2,"The 2020 presidential campaign has begun in earnest, with a variety of candidates either entering the race or announcing exploratory committees that allow them to begin fundraising.",NA
6,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-ralph-northam-blackface-tv-interview-20190210-story.html,"February 10, 2019, 1:23 PM 2019-02-10T13:23:00CST",1,"In his first interview since a racist photograph in his medical school yearbook came to light on Feb. 1, Virginia Gov. Ralph Northam said that despite widespread calls for his resignation he is determined to spend the remaining three years of his term pursuing ""equity.""",Katherine Frey/The Washington Post
7,chicagotribune,https://www.chicagotribune.com/news/nationworld/midwest/ct-milwaukee-officer-shooting-20190210-story.html,"February 10, 2019, 6:53 PM 2019-02-10T18:53:00CST",1,This undated image provided by the Milwaukee County Jail shows Jordan Fricke.,AP
8,chicagotribune,https://www.chicagotribune.com/news/opinion/commentary/ct-perspec-flashback-ben-lewis-24th-ward-black-alderman-murder-020319-story.html,"February 8, 2019, 7:00 AM 2019-02-08T07:00:00CST",0,NA,NA
9,chicagotribune,https://www.chicagotribune.com/entertainment/music/ct-ent-when-are-grammys-0208-story.html,"February 8, 2019, 6:00 AM 2019-02-08T06:00:00CST",5,NA,Recording Academy
9,chicagotribune,,,5,NA,NA
9,chicagotribune,,,5,NA,Atlantic Records / Kelly Christine Sutton / Universal Music Group Nashville / Bad Boy Records
9,chicagotribune,,,5,NA,Jay L. Clendenin / Los Angeles Times
9,chicagotribune,,,5,NA,Jung Yeon-Je / AFP/Getty Images
