Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,chicagotribune,https://www.chicagotribune.com/lifestyles/travel/sc-trav-nebraska-crane-migration-0205-story.html,"February 8, 2019, 8:45 AM 2019-02-08T08:45:00CST",4,"
More than a half-million sandhill cranes stop in Nebraska each year as they migrate north. Peak season for this magical spectacle is mid- to late March. Chicago Tribune photojournalist E. Jason Wambsgans reveals the beauty and magic of these majestic travelers.",NA
2,chicagotribune,,,4,NA,NA
2,chicagotribune,,,4,"
      The Archway museum in Kearney, Neb., is built inside an arch that straddles Interstate 80.",Beth J. Harpaz/Chicago Tribune
2,chicagotribune,,,4,NA,NA
3,chicagotribune,https://www.chicagotribune.com/business/ct-biz-binding-arbitration-unexpected-medical-bills-20190207-story.html,"February 7, 2019, 10:00 AM 2019-02-07T10:00:00CST",1,"
      Sen Maggie Hassan, D-N.H., has a bill to cap what patients owe and make rules for settling disputed charges that relies on baseball-style arbitration between insurers and doctors. The results of the arbitration would be made public.",Michael Dwyer/AP 2016
4,chicagotribune,https://www.chicagotribune.com/news/local/breaking/ct-met-charges-dismissed-ronald-watts-20190210-story.html,"February 11, 2019, 3:45 PM 2019-02-11T15:45:00CST",1,"
      Deon Willis, right, speaks to the media about the exonerations of several men in connection with federal charges against Kallatt Mohammed and Ronald Watts in 2018. To the left of Willis is Josh Tepfer, an attorney with the Exoneration Project.",Antonio Perez/Chicago Tribune
5,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-amy-klobuchar-2020-presidential-election-20190210-story.html,"February 10, 2019, 4:45 PM 2019-02-10T16:45:00CST",2,"
Democratic Sen. Amy Klobuchar, laughs as she addresses a snowy rally where she announced she is entering the race for president on Feb. 10, 2019, at Boom Island Park in Minneapolis.",Jim Mone/AP
5,chicagotribune,,,2,"
The 2020 presidential campaign has begun in earnest, with a variety of candidates either entering the race or announcing exploratory committees that allow them to begin fundraising. The Iowa Caucuses are months away (Feb. 3, 2020) but candidates are already scrambling for momentum in a crowded...",NA
6,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-ralph-northam-blackface-tv-interview-20190210-story.html,"February 10, 2019, 1:23 PM 2019-02-10T13:23:00CST",1,"
In his first interview since a racist photograph in his medical school yearbook came to light on Feb. 1, Virginia Gov. Ralph Northam said that despite widespread calls for his resignation he is determined to spend the remaining three years of his term pursuing ""equity.""",Katherine Frey/The Washington Post
7,chicagotribune,https://www.chicagotribune.com/news/nationworld/midwest/ct-milwaukee-officer-shooting-20190210-story.html,"February 10, 2019, 6:53 PM 2019-02-10T18:53:00CST",1,"
This undated image provided by the Milwaukee County Jail shows Jordan Fricke.",AP
8,chicagotribune,https://www.chicagotribune.com/news/opinion/commentary/ct-perspec-flashback-ben-lewis-24th-ward-black-alderman-murder-020319-story.html,"February 8, 2019, 7:00 AM 2019-02-08T07:00:00CST",3,NA,NA
8,chicagotribune,,,3,"
Ald. Ben Lewis, the 24th Ward's first black alderman who was first elected to his seat in 1959, in an undated photo.",Chicago archive photo
8,chicagotribune,,,3,"
Ella Lewis testifies on the witness stand at the inquest for her murdered husband, Ald. Ben Lewis, at the county board room on March 7, 1963.",Frederick Giese / Chicago Tribune
9,chicagotribune,https://www.chicagotribune.com/entertainment/music/ct-ent-when-are-grammys-0208-story.html,"February 8, 2019, 6:00 AM 2019-02-08T06:00:00CST",5,"
      Fifteen-time Grammy winner Alicia Keys is hosting the 61st Grammy Awards on CBS this Sunday.",Recording Academy
9,chicagotribune,,,5,"
      I’M HOSTING THE 2019 GRAMMYS (ALICIA KEYS)",NA
9,chicagotribune,,,5,"
      Cover art for Cardi B's album ""Invasion of Privacy,"" Kacey Musgraves' ""Golden Hour"" and Janelle Monáe's ""Dirty Computer.""",Atlantic Records / Kelly Christine Sutton / Universal Music Group Nashville / Bad Boy Records
9,chicagotribune,,,5,"
      Lady Gaga will perform at the Grammy Awards.",Jay L. Clendenin / Los Angeles Times
9,chicagotribune,,,5,"
      South Korean pop sensation BTS will present at the Grammy Awards.",Jung Yeon-Je / AFP/Getty Images
10,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-elizabeth-warren-2020-iowa-20190210-story.html,"February 10, 2019, 8:50 PM 2019-02-10T20:50:00CST",1,"
Sen. Elizabeth Warren, D-Mass., speaks during an event to formally launch her presidential campaign, Saturday, Feb. 9, 2019, in Lawrence, Mass.",Elise Amendola / AP
11,chicagotribune,https://www.chicagotribune.com/news/local/breaking/ct-met-naperville-home-invasion-robbery-20190210-story.html,"February 10, 2019, 1:00 PM 2019-02-10T13:00:00CST",0,NA,NA
12,chicagotribune,https://www.chicagotribune.com/business/ct-biz-nest-cameras-hacked-20190204-story.html,"February 8, 2019, 5:00 AM 2019-02-08T05:00:00CST",4,"
      Arjun Sud puts his 7-month-old son Oliver down for a nap in Lake Barrington. On Jan. 20, Sud heard a man's voice coming from the Nest camera mounted about his son's crib. The next cameras and thermostat in the Sud family's home had been hacked.",Erin Hooley/Chicago Tribune
12,chicagotribune,,,4,"
There are several steps homeowners can take to help protect their smart home devices from hackers. Here’s some advice from security experts: • Always change the default password, which is the factory-issued password that allows a device to be accessed for initial setup.  • Choose a complicated...",NA
12,chicagotribune,,,4,"
Arjun Sud converses with an unidentified person who hacked his Nest camera inside their infant son's room at their Lake Barrington home on Jan. 20, 2019. ",NA
12,chicagotribune,,,4,"
      Arjun Sud sits with his wife, Jessica, and 7-month-old son, Oliver, at their home in Lake Barrington.",Erin Hooley/Chicago Tribune
