Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,nypost,https://pagesix.com/2019/02/04/star-jones-ex-husband-suing-magic-johnsons-company-for-5-million/?utm_campaign=SocialFlow&utm_source=NYPTwitter&utm_medium=SocialFlow,"February 4, 2019 | 1:01pm
												",1,Magic Johnson and Al Reynolds ,Getty Images
2,nypost,https://nypost.com/2019/02/10/man-arrested-for-filming-women-self-in-office-restroom/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 6:32pm
												",1,Daniel Perez,NCPD
3,nypost,https://nypost.com/2019/02/10/kristaps-porzingis-trade-left-kevin-knox-with-mentorship-void/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 6:30pm
												",2,"Courtney Lee, Kevin Knox and Kristaps Porzingis.",Charles Wenzelberg/Getty Images/AP
3,nypost,,,2,"Kevin Knox, Kristaps Porzingis and Courtney Lee sit on the Knicks bench in November.",Charles Wenzelberg
4,nypost,https://nypost.com/2019/02/10/dc-bakery-offering-ruth-bader-ginsburg-themed-treats-for-valentines-day/,"February 10, 2019 | 6:29pm
											| Updated February 11, 2019 | 10:57am
",1,Buttecream Bakery,Buttecream Bakery
5,nypost,https://nypost.com/2019/02/10/mans-body-pulled-from-hudson-river-near-hoboken/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 6:19pm
												",1, ,Getty Images/iStockphoto
6,nypost,https://nypost.com/2019/02/10/camila-coelho-shares-messy-beauty-tips-at-fashion-week/?utm_source=NYPTwitter&utm_medium=SocialFlow&utm_campaign=SocialFlow,"February 10, 2019 | 6:17pm
												",1,Camila Coelho on the scene at New York Fashion Week 2019. ,Getty Images
7,nypost,https://nypost.com/2019/02/09/model-ashley-grahams-sexy-secret-to-a-happy-marriage/?utm_campaign=SocialFlow&utm_source=NYPTwitter&utm_medium=SocialFlow,"February 9, 2019 | 10:55pm
												",2,Ashley Graham and husband Justin Ervin,Getty Images
7,nypost,,,2,"Karlie Kloss (left), Ashley Graham and Nicky Hilton at the Brandon Maxwell runway show.",Getty Images
8,nypost,https://nypost.com/2019/02/10/the-jets-coaching-staff-is-a-volcano-waiting-to-blow/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 6:01pm
												",2,Gregg Williams and Adam Gase,AP; Charles Wenzelberg
8,nypost,,,2,Joe Vitt,Getty Images
9,nypost,https://nypost.com/2019/02/10/jetsmarter-may-be-sold-for-a-fraction-of-its-targeted-value/?utm_source=NYPTwitter&utm_medium=SocialFlow&utm_campaign=SocialFlow,"February 10, 2019 | 5:56pm
											| Updated February 11, 2019 | 12:11pm
",1,CEO of JetSmarter Sergey Petrossov (left) and executive director Jason Binn,Getty Images
10,nypost,https://nypost.com/2019/02/09/how-i-retired-at-38-and-you-can-too/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 3:14pm
												",2,"The author Tanja Hester, with hubby Mark Bunge, says you can retire by saving 25 to 35 times the annual amount you hope to live on.",Hester and Mark Bunge
10,nypost,,,2,"Hester and her husband have already paid the mortgage on their 1,800-square-foot home in Lake Tahoe.",Mark Bunge
11,nypost,https://nypost.com/2019/02/10/islanders-continue-to-roll-as-they-keep-back-to-back-streak-alive/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 5:55pm
												",2,Anthony Beauvillier,Paul J. Bereswill
11,nypost,,,2,Joel Eriksson Ek of the Wild and Johnny Boychuk battle for the puck.,Paul J. Bereswill
12,nypost,https://nypost.com/2019/02/10/four-year-old-who-fell-to-her-death-had-birthday-party-planned-for-next-day/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 5:51pm
												",1,The Bronx apartment building where Helena Flores feel to her death,Richard Harbus for New York Post
13,nypost,https://pagesix.com/2019/02/03/grace-hightower-wants-robert-de-niro-divorce-to-be-public-source-says/?utm_medium=SocialFlow&utm_source=NYPTwitter&utm_campaign=SocialFlow,"February 3, 2019 | 9:27am
												",1,Robert De Niro and Grace Hightower,Getty Images for Tribeca Film Fe
14,nypost,https://nypost.com/2019/02/10/grammys-2019-complete-list-of-award-winners-snubs-and-more/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 5:28pm
											| Updated February 11, 2019 | 9:16am
",10,"Lady Gaga performs ""Shallow"" on the Grammys 2019 stage. ",Getty Images
14,nypost,,,10,Lady Gaga,Getty Images
14,nypost,,,10,Janelle Monae,Getty Images
14,nypost,,,10,FilmMagic,FilmMagic
14,nypost,,,10,Drake,Getty Images
14,nypost,,,10,Kacey Musgraves on the Grammy red carpet.,Getty Images
14,nypost,,,10,Dan + Shay won the Best Country Duo/Group Performance award for “Tequila.”,Getty Images
14,nypost,,,10,Katrina Lenk and Tony Shalhoub in Atlantic Theater Company’s “The Band’s Visit.”,Ahron R. Foster
14,nypost,,,10,"Tim Hanseroth, Brandi Carlile and Phil Hanseroth win Best American Roots Song for “The Joke.”",Getty Images
14,nypost,,,10,Kalani Pe’a wins Best Regional Roots Music Album for “No ‘Ane’i.”,Getty Images
15,nypost,https://nypost.com/2019/02/09/citys-child-care-data-portal-riddled-with-inaccurate-info/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 10:23pm
												",1,The Seventh Avenue Center for Family Services in Harlem.,Brigitte Stelzer
16,nypost,https://nypost.com/2019/02/10/trumps-hud-appointee-moving-into-nycha-after-shutdown-delay/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 5:03pm
												",1, Lynne Patton,Getty Images
17,nypost,https://nypost.com/2019/02/09/christina-ricci-says-its-child-abuse-to-make-your-kid-famous/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 7:42pm
											| Updated February 9, 2019 | 7:43pm
",1,Getty Images,Getty Images
18,nypost,https://nypost.com/2019/02/10/christian-hackenbergs-pro-football-debut-does-not-start-well/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 4:55pm
												",0,NA,NA
19,nypost,https://nypost.com/2019/02/10/bronx-lawmaker-refuses-to-apologize-for-anti-gay-remarks/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 4:51pm
											| Updated February 10, 2019 | 7:46pm
",1,Ruben Diaz Sr.,Richard Harbus
20,nypost,https://nypost.com/2019/02/10/dree-hemingway-says-shaving-her-head-was-a-good-cleanse/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 4:43pm
												",1,Dree Hemingway at the Tory Burch Fall Winter 2019 Fashion Show at Pier 17 on February 10 in New York City.,WireImage
21,nypost,https://pagesix.com/2019/02/02/doc-producers-are-after-michael-cohen-for-trumps-skeletons/?utm_medium=SocialFlow&utm_source=NYPTwitter&utm_campaign=SocialFlow,"February 2, 2019 | 4:17pm
												",1,Michael Moore ,Getty Images
22,nypost,https://nypost.com/2019/02/10/gayle-king-calls-out-northam-on-blackface-slavery-during-interview/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 4:32pm
											| Updated February 12, 2019 | 1:36pm
",1,Gayle King (left) and Ralph Northam,Getty Images
23,nypost,https://nypost.com/2019/02/10/councilmans-own-son-decries-his-anti-gay-remarks/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 6:20am
											| Updated February 10, 2019 | 4:58pm
",1,"Sen. Ruben Diaz, Sr.",AP
