Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,USATODAY,https://www.usatoday.com/story/life/music/2019/02/10/grammys-2019-news-updates-winners/2828473002/,"Published 3:45 p.m. ET Feb. 10, 2019 | Updated 2:02 a.m. ET Feb. 11, 2019",11,Dua Lipa accepts the award for best new artist. (Photo: ROBERT HANASHIRO/USA TODAY), ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Cardi B accepts the award for best rap album for ""Invasion of Privacy"" with husband Offset joining her onstage. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"H.E.R. performs ""Hard Place"" during the 61st Grammy Awards. She also won best R&B album. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Lady Gaga performs ""Shallow"" with Mark Ronson on acoustic guitar. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Surprise! Drake shows up to accept best rap song at the Grammys for ""God's Plan."" But his speech got cut off. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Alicia Keys performs a “Songs I Wish I’d Written"" medley at the Grammys. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Katy Perry, left, and Kacey Musgraves, right, flank Dolly Parton to sing ""Here You Come Again"" as part of a tribute to the country icon. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Lady Gaga, right, get a congratulatory kiss on the cheek from Grammy host Alicia Keys after she wins best pop duo or group performance for ""Shallow,"" her duet with Bradley Cooper from ""A Star Is Born."" (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,"Lady Gaga (from left), Jada Pinkett Smith, Alicia Keys, Michelle Obama and Jennifer Lopez celebrate the power of music at the Grammys. (Photo: ROBERT HANASHIRO/USA TODAY)", ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,Camila Cabello (in yellow) performs “Havana” during the opening of the 61st annual Grammy Awards. (Photo: ROBERT HANASHIRO/USA TODAY), ROBERT HANASHIRO/USA TODAY)
1,USATODAY,,,11,Rashida Jones and Alan Hicks arrive at the Grammy Awards. (Photo: DAN MacMEDAN/USA TODAY), DAN MacMEDAN/USA TODAY)
2,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/10/feds-cvs-employee-stole-2-5-million-worth-diabetic-test-strips/2830382002/,"Published 12:51 p.m. ET Feb. 10, 2019 | Updated 4:37 p.m. ET Feb. 10, 2019",1,"Authorities say a New York man intercepted 20,203 boxes of diabetic test strips sent to CVS pharmacies. (Photo11: hattiesburgmemory / Flickr)",o11: hattiesburgmemory / Flickr)
3,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/05/smoking-ban-hawaii-aims-ban-cigarettes-tobacco-legislation/2774631002/,"Published 6:17 a.m. ET Feb. 5, 2019 | Updated 6:53 p.m. ET Feb. 5, 2019",1,American smoking rates decreased from 20.9 percent in 2005 to 15.5 percent in 2016. (Photo: Terroa / Getty Images), Terroa / Getty Images)
4,USATODAY,https://www.usatoday.com/story/money/2019/02/10/jeff-bezos-american-media-elkan-abramowitz-this-week/2829977002/,"Published 11:36 a.m. ET Feb. 10, 2019 | Updated 6:26 a.m. ET Feb. 11, 2019",1,"Jeff Bezos accused  American Media Inc. (AMI) of blackmail and extortion and 'SNL' won't let him live it down. (Photo: Cliff Owen, AP)"," Cliff Owen, AP)"
5,USATODAY,https://www.usatoday.com/story/life/music/2019/02/10/brandi-carlile-grammys-dolly-parton-studio-a-car-crash/2829848002/,"Published 9:51 a.m. ET Feb. 10, 2019 | Updated 11:10 a.m. ET Feb. 10, 2019",1,"Willie Nelson and Brandi Carlile perform ""It's All Wrong, But It's All Right."" (Photo11: Chris Pizzello, Chris Pizzello/Invision/AP)","o11: Chris Pizzello, Chris Pizzello/Invision/AP)"
