Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,thenewspress,https://www.news-press.com/story/news/2019/02/10/children-and-generations-enjoy-participating-edison-festival-junior-parade/2790331002/,"Published 6:23 p.m. ET Feb. 10, 2019 | Updated 9:16 p.m. ET Feb. 10, 2019",10,Andrew Mitchell Bechdel and Annabell Olivia VanHorn were named king and queen at the Edison Festival of Light Junior Coronation on Sunday at the Sydney and Berne Davis Art Center in downtown Fort Myers. (Photo: Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA),(Photo: Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA)
1,thenewspress,,,10,"Logan Reeves, 8, was among more than 300 kids to run in the Edison Festival of Light Junior Fun Run races recently in downtown Fort Myers.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,"Kai Nesfield, 8, center, was among more than 300 kids to run in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,"Kenlee Dominguez, 9, wins the mile race in the Edison Festival of Light Junior Fun Run on Sunday in downtown Fort Myers. Kenlee was among more than 300 kids to compete in the races.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
1,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
2,thenewspress,https://www.news-press.com/story/news/2019/02/10/caloosahatchee-river-boater-found-dead-after-falling-overboar/2832437002/,"Published 6:18 p.m. ET Feb. 10, 2019 | Updated 6:21 p.m. ET Feb. 10, 2019",1,FWC logo (Photo: Special to The News-Press),(Photo: Special to The News-Press)
3,thenewspress,https://www.news-press.com/picture-gallery/news/2019/02/10/photos-edison-festival-light-junior-fun-run/2831496002/,,10,"Logan Reeves, 8, was among more than 300 kids to run in the Edison Festival of Light Junior Fun Run races recently in downtown Fort Myers.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,"Kai Nesfield, 8, center, was among more than 300 kids to run in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,"Kenlee Dominguez, 9, wins the mile race in the Edison Festival of Light Junior Fun Run on Sunday in downtown Fort Myers. Kenlee was among more than 300 kids to compete in the races.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
3,thenewspress,,,10,More than 300 kids raced in the Edison Festival of Light Junior Fun Run races on Sunday in downtown Fort Myers.,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
4,thenewspress,https://www.news-press.com/story/news/crime/2019/02/10/sportscaster-warner-wolf-charged-criminal-mischief/2830534002/,"Published 1:07 p.m. ET Feb. 10, 2019 | Updated 1:43 p.m. ET Feb. 11, 2019",2,Warner Wolf (Photo: CCSO),(Photo: CCSO)
4,thenewspress,,,2,"Sportscaster Warner Wolf turned himself in and was arrested on Thursday, Feb. 7, 2019, on charges of vandalizing the Classics Plantation Estates sign in Lely Resort in East Naples. Photographed on Sunday, Feb. 10, 2019, to show where the letters were removed. (Photo: Alex Driehaus/Naples Daily News)",(Photo: Alex Driehaus/Naples Daily News)
5,thenewspress,https://www.news-press.com/story/news/crime/2019/02/10/cypress-lake-high-student-arrested-bringing-gun-school/2830421002/,"Published 12:51 p.m. ET Feb. 10, 2019 | Updated 3:47 p.m. ET Feb. 10, 2019",1,"Shane Humphrey was arrested for bringing a gun to Cypress Lake High School on Friday, Feb. 8, 2019. (Photo: Lee County Sheriff's Office)",(Photo: Lee County Sheriff's Office)
6,thenewspress,https://www.news-press.com/story/news/crime/2019/02/10/north-fort-myers-armed-robbery-ends-two-suspects-arrested-another-shot/2830192002/,"Published 12:27 p.m. ET Feb. 10, 2019 | Updated 3:50 p.m. ET Feb. 10, 2019",1,Joshua Tatlock (left) and Killian Irberseder were arrested after an alleged armed robbery at a North Fort Myers business that resulted in a third unidentified suspect being shot by a victim. (Photo: news-press.com),(Photo: news-press.com)
7,thenewspress,https://www.news-press.com/story/money/small-business/2019/02/10/fort-myers-company-recognized-its-innovation-wearable-tech/2830033002/,"Published 11:31 a.m. ET Feb. 10, 2019 | Updated 10:57 a.m. ET Feb. 11, 2019",2,"Dallas Vasquez, left, and his brother Anthony Vasquez began selling the iGPS Watch in 2017 after nearly two years of testing and development. (Photo: Submitted)",(Photo: Submitted)
7,thenewspress,,,2,"Using iGPS’ secure mobile-phone app, parents can see their children’s location on a map, send them messages and speak to their children through a child-size watch. (Photo: Submitted)",(Photo: Submitted)
8,thenewspress,https://www.news-press.com/story/news/2019/02/10/fort-myers-crash-evans-avenue-south-avenue-sends-several-hospital/2829902002/,"Published 10:44 a.m. ET Feb. 10, 2019 | Updated 3:45 p.m. ET Feb. 10, 2019",1,A two-vehicle crash on Evans  Avenue at South Street shortly before 9:30 a.m. Sunday sent several people to the hospital. (Photo: Michael Braun/The News-Press),(Photo: Michael Braun/The News-Press)
9,thenewspress,https://www.news-press.com/story/news/2019/02/10/lee-commission-may-stop-deficit-spending-unincorporated-lee-county/2799319002/,"Published 8:00 a.m. ET Feb. 10, 2019
        ",1,Lee County Commissioner Cecil Pendergrass says shifting school resource officer costs back on the school district may be one way to balance  the budget for the unincorporated county (Photo: NEWS-PRESS STAFF FILE PHOTO/GUY TUBBS),(Photo: NEWS-PRESS STAFF FILE PHOTO/GUY TUBBS)
10,thenewspress,https://www.news-press.com/story/news/2019/02/10/fort-myers-closing-some-downtown-streets-edison-junior-parade/2816790002/,"Published 9:16 a.m. ET Feb. 10, 2019 | Updated 9:46 a.m. ET Feb. 10, 2019",10,Junior Fun Run and Junior Parade routes (Photo: Special to The News-Press),(Photo: Special to The News-Press)
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
10,thenewspress,,,10,"Thousands of people attended the Edison Festival of Light Junior Parade on Sunday in downtown Fort Myers. The annual event featured floats, dancers, local high school bands, and city officials. ",Kinfay Moroti/news-press.com
11,thenewspress,https://www.news-press.com/picture-gallery/news/2019/02/09/photos-what-happened-iconic-eagle-tree-downtown-fort-myers/2823235002/,,10,"The Lee County Eagle Tree located in front of the Old Lee County Courthouse on Main Street in downtown Fort Myers was removed recently. Lee County’s Department of Facilities, Construction & Management is renovating the Eagle Tree to preserve and protect it from environmental impacts. The renovations will be completed off site at a Lee County facility. Project completion is expected within about six months. The tree, which dates back to around 1900, has been a sculpture since 2011.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
11,thenewspress,,,10,"The Lee County Eagle Tree located in front of the Old Lee County Courthouse on Main Street in downtown Fort Myers was removed on Saturday. Lee County’s Department of Facilities, Construction & Management is renovating the Eagle Tree to preserve and protect it from environmental impacts. The renovations will be completed off site at a Lee County facility. Project completion is expected within about six months. The tree, which dates back to around 1900, has been a sculpture since 2011.",Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA
