Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,baltimoresun,https://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-weed-zone-20190210-story.html,2019-02-10T14:00:00EST,0,NA,NA
2,baltimoresun,https://www.baltimoresun.com/news/maryland/baltimore-county/bs-md-co-immigrant-enrollment-20190204-story.html,2019-02-07T10:00:00EST,2,"Clockwise from left, third graders Jonathan Alfaro, David Lamkin, Carter Butler, Jordan Felipa, Felix Ouedraogo, and Kimora Lea at Bedford Elementary School, which has seen an increase of new immigrants.  (Amy Davis, Baltimore Sun)","Amy Davis, Baltimore Sun"
2,baltimoresun,,,2,"Oluwanifemi Oyewole, left, and Christ Zokognon, right, work on a nutrition lesson in the third grade class taught by Anastasia Dean.  (Amy Davis, Baltimore Sun)","Amy Davis, Baltimore Sun"
3,baltimoresun,https://www.baltimoresun.com/news/maryland/baltimore-county/bs-md-towson-woman-date-son-20190210-story.html,2019-02-10T14:30:00EST,0,NA,NA
4,baltimoresun,https://www.baltimoresun.com/news/maryland/dan-rodricks-blog/bs-md-rodricks-column-0210-story.html,2019-02-08T11:40:00EST,1,"Renovating hundreds of rowhouses, creating more affordable housing, increasing population remain major challenges. (Baltimore Sun)",Baltimore Sun
5,baltimoresun,https://www.baltimoresun.com/news/maryland/investigations/bs-md-ci-housing-inspections-explainer-20190128-story.html,2019-02-08T06:00:00EST,0,NA,NA
6,baltimoresun,https://www.baltimoresun.com/news/maryland/politics/bs-md-hopkins-police-politics-20190206-story.html,2019-02-08T16:40:00EST,0,NA,NA
7,baltimoresun,https://www.baltimoresun.com/sports/olympics/ct-spt-lindsey-vonn-final-race-20190210-story.html,2019-02-10T12:55:00EST,0,NA,NA
8,baltimoresun,https://www.baltimoresun.com/sports/orioles/bs-sp-orioles-fans-will-need-to-trade-expectations-for-intrigue-20190210-story.html,2019-02-10T12:00:00EST,0,NA,NA
9,baltimoresun,https://www.baltimoresun.com/entertainment/music/bs-fe-grammy-md-20181207-story.html,2019-02-09T08:15:00EST,1,"Toni Braxton, center, is nominated for multiple Grammy awards. (Bettina Strauss / AP)",Bettina Strauss / AP
10,baltimoresun,https://www.baltimoresun.com/news/breaking/bs-md-horses-fire-20190210-story.html,2019-02-10T10:05:00EST,0,NA,NA
11,baltimoresun,https://www.baltimoresun.com/sports/ravens/bs-sp-ravens-free-agents-20190209-story.html,2019-02-10T05:00:00EST,2,"Baltimore Ravens inside linebacker C.J. Mosley runs onto the field before an NFL football game against the Tampa Bay Buccaneers, Sunday, Dec. 16, 2018, in Baltimore. (Nick Wass / AP)",Nick Wass / AP
11,baltimoresun,,,2,Ravens defensive end Brent Urban during the wild-card game against the Chargers. (Lloyd Fox / Baltimore Sun),Lloyd Fox / Baltimore Sun
12,baltimoresun,https://www.baltimoresun.com/news/weather/bs-md-weekend-weather-20190209-story.html,2019-02-12T12:15:00EST,2,A car sits in the middle of flooded Notchcliff road in Glen Arm near Harford Road. (Barbara Haddock Taylor / Baltimore Sun),Barbara Haddock Taylor / Baltimore Sun
