Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,dmregister,https://www.desmoinesregister.com/story/news/nation/2019/02/10/parkland-one-year-after-shooting-where-key-figures-are-now/2721798002/,"Published 1:48 p.m. CT Feb. 10, 2019 | Updated 11:51 a.m. CT Feb. 14, 2019",11,"Jorge Zapata, 16, a student at Marjory Stoneman Douglas High School in Parkland, Fla., embraces his mother, Lavinia Zapata, after a mass shooting on Feb. 14, 2018. (Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network)",(Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network)
1,dmregister,,,11,"Bella Swanson, 13, wipes a tear away as she looks to her friend Bonnie Torres during a March for Our Lives event on on March 24, 2018. The gathering was a part of the national movement following the Parkland, Fla., shooting. (Photo: AUSTIN HUMPHREYS/The Coloradoan)",(Photo: AUSTIN HUMPHREYS/The Coloradoan)
1,dmregister,,,11,"Alfonso Calderon, 16, a junior at Marjory Stoneman Douglas High School in Parkland, Fla., speaks to students at Metro Tech High School in Phoenix on April 20, 2018. On the 19th anniversary of the massacre at Columbine High School, Calderon, a co-founder of the March For Our Lives Movement, implored students to get politically active to change gun laws. (Photo: TOM TINGLE/The Republic via USA TODAY Network)",(Photo: TOM TINGLE/The Republic via USA TODAY Network)
1,dmregister,,,11,"Marjory Stoneman Douglas High School student Cameron Kasky speaks at a rally for gun control at the Broward County Federal Courthouse in Fort Lauderdale, Fla., on Feb. 17, 2018. (Photo: RHONA WISE, AFP/Getty Images)","(Photo: RHONA WISE, AFP/Getty Images)"
1,dmregister,,,11,"Emma Gonzalez, a representative of March for our Lives, speaks to family and friends of Robert F. Kennedy at Arlington National Cemetery in Arlington, Va., on June 6, 2018, to mark the 50th anniversary of his death. (Photo: CAMILLE FINE/USA TODAY)",(Photo: CAMILLE FINE/USA TODAY)
1,dmregister,,,11,"In this combination photo, Fox News personality Laura Ingraham speaks at the Republican National Convention in Cleveland on July 20, 2016, left, and David Hogg, a student survivor from Marjory Stoneman Douglas High School in Parkland, Fla., speaks at a rally for common sense gun legislation in Livingston, N.J. on Feb. 25, 2018. Some big name advertisers dropped Ingraham after she publicly criticized Hogg, a student at Marjory Stoneman Douglas school, on social media. (Photo: (AP Photos. Scott Applewhite, left, and Rich Schultz)","(Photo: (AP Photos. Scott Applewhite, left, and Rich Schultz)"
1,dmregister,,,11,"Stoneman Douglas High School Junior Class President Jaclyn Corin's, 17, tears up as she listens to a fellow student tell his story during a news conference at the Capitol in Tallahassee in the days after the Parkland rampage. (Photo: Hali Tauxe/Tallahassee Democrat)",(Photo: Hali Tauxe/Tallahassee Democrat)
1,dmregister,,,11,"Alex Wind, a survivor of the school shooting at Marjory Stoneman Douglas High School speaks at during the March For Our Lives in Washington on March 24, 2018. March For Our Lives student activists demand that their lives and safety become a priority, and an end to gun violence and mass shootings in our schools. (Photo: Shawn Thew, EPA-EFE)","(Photo: Shawn Thew, EPA-EFE)"
1,dmregister,,,11,"Scot Peterson on the ""Today"" show on May 30, 2018. (Photo: Zach Pagano/NBC/NBCU Photo Bank via Getty Images)",(Photo: Zach Pagano/NBC/NBCU Photo Bank via Getty Images)
1,dmregister,,,11,"Broward County Sheriff Scott Israel speaks before a CNN town hall broadcast on Feb. 21, 2018, at the BB&T Center in Sunrise, Fla. (Photo: MICHAEL LAUGHLIN/ South Florida Sun-Sentinel via AP)",(Photo: MICHAEL LAUGHLIN/ South Florida Sun-Sentinel via AP)
