Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,ndn,https://www.naplesnews.com/story/money/business/local/2019/02/10/local-company-recognized-its-innovation-wearable-tech-fort-myers-southwest-florida/2803631002/,"Published 11:16 a.m. ET Feb. 10, 2019 | Updated 11:01 a.m. ET Feb. 11, 2019",2,"Dallas Vasquez, left, and his brother Anthony Vasquez began selling the iGPS Watch in 2017 after nearly two years of testing and development. (Photo: Submitted)",(Photo: Submitted)
2,ndn,,,2,"Using iGPS’ secure mobile-phone app, parents can see their children’s location on a map, send them messages and speak to their children through a child-size watch. (Photo: Submitted)",(Photo: Submitted)
3,ndn,https://www.naplesnews.com/story/entertainment/arts/2019/02/10/touring-musical-waitress-includes-two-naples-fort-myers-actresses/2505596002/,"Published 8:00 a.m. ET Feb. 10, 2019 | Updated 12:17 p.m. ET Feb. 10, 2019",9,"Gianna Winton tries out for the role of Lulu in the upcoming production of ""Waitress"" on Saturday, Jan. 12, 2019, at the Artis—Naples Toni Stabile Education Building. (Photo: Jon Austria/Naples Daily News)",(Photo: Jon Austria/Naples Daily News)
3,ndn,,,9,"Gianna Winton, 6, of Fort Myers auditions for the role of Lulu in the upcoming production of ""Waitress"", Saturday, Jan. 12, 2019, at the Artis-Naples Toni Stabile Education Building. (Photo: Jon Austria/Naples Daily News)",(Photo: Jon Austria/Naples Daily News)
3,ndn,,,9,"Jessie Mueller and the cast of ""Waitress"" perform onstage during the 70th Annual Tony Awards in 2016 in New York City. (Photo: Getty Images for Tony Awards Productions)",(Photo: Getty Images for Tony Awards Productions)
3,ndn,,,9,"Solei Bourgeois, 5, of Naples, is one of two Southwest Florida actresses playing Lulu in the touring Broadway musical ""Waitress"" coming to Artis—Naples next week. (Photo: Submitted)",(Photo: Submitted)
3,ndn,,,9,"Gianna Winton, 6, of Fort Myers auditions for the role of Lulu in the upcoming production of ""Waitress"" on Saturday, Jan. 12, 2019, at the Artis—Naples Toni Stabile Education Building.",Jon Austria/Naples Daily News
3,ndn,,,9,"Gianna Winton tries out for the role of Lulu in the upcoming production of ""Waitress"" on Saturday, Jan. 12, 2019, at the Artis—Naples Toni Stabile Education Building.",Jon Austria/Naples Daily News
3,ndn,,,9,"Eloise Filner, 4, of Naples, tries out for the role of Lulu in the upcoming production of ""Waitress"" during a casting call Saturday, Jan. 12, 2019, at the Artis—Naples Toni Stabile Education Building.",Jon Austria/Naples Daily News
3,ndn,,,9,"Assistant director Susanna Wolk works with Emma Panos during a casting call for the role of Lulu in the upcoming production of ""Waitress"" on Saturday, Jan. 12, 2019, at the Artis—Naples Toni Stabile Education Building.",Jon Austria/Naples Daily News
3,ndn,,,9,"Emma Panos, 3, of Naples, is measured by Susanna Wolk, the assistant director for the upcoming production of ""Waitress,"" during a casting call for the role of Lulu on Saturday, Jan. 12, 2019, at the Artis—Naples Toni Stabile Education Building.",Jon Austria/Naples Daily News
