Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,newsday,https://www.newsday.com/travel/long-island-getaways/hamptons-inns-bedside-reading-weekend-1.26393562?utm_source=tw_nd,2019-01-30T08:52:00-05:00,1,"The Baker House 1650 in East Hampton is participating in a special weekend for book lovers, March 1-3.",Yuxi Liu
2,newsday,https://www.newsday.com/long-island/father-son-conference-wyandanch-1.26476744?utm_source=tw_nd,2019-01-26T22:26:38-05:00,0,NA,NA
3,newsday,https://www.newsday.com/long-island/federal-workers-shutdown-long-island-1.26476399?utm_source=tw_nd,2019-01-27T10:32:04-05:00,2,"Rina Brooke and her daughter, Sophia Kieseheuer, of North Babylon, bring their donations to the Angels of Long Island center in Patchogue.",Howard Simmons
3,newsday,,,2,John Pantijaras and Tasha Chiuchiolp stack shelves at the nonprofit Angels of Long Island in East Patchogue with items collected to help furloughed federal workers.,Howard Simmons
4,newsday,https://www.newsday.com/long-island/nassau/bayville-seaside-inn-1.26505299?utm_source=tw_nd,2019-01-27T17:51:00-05:00,2,"The vacant waterfront land where developers want to build an event center, spa and restaurant on Bayville Avenue in Bayville.",Howard Simmons
4,newsday,,,2,The Tides Motor Inn at 1 Bayville Ave.,Howard Simmons
5,newsday,https://www.newsday.com/long-island/politics/nassau-spending-1.26434856?utm_source=tw_nd,2019-01-27T20:28:00-05:00,1,"A tractor to maintain museum grounds, statues, roller rink and weight room renovations and a comfort station were among the projects that legislators earmarked funds for through Nassau's Community Revitalization Program.",Howard Schnapp; Danielle Finkelstein; Shelby Knowles; Danielle Silverman; Barry Sloan; Johnny Milano
6,newsday,https://www.newsday.com/long-island/suffolk/shoreham-nuclear-plant-protection-1.26435904?utm_source=tw_nd,2019-01-27T13:57:00-05:00,1,An aerial view of the never-opened Shoreham nuclear plant in July 2015.,Daniel Brennan
7,newsday,https://www.newsday.com/long-island/politics/nassau-spending-1.26434856?utm_source=tw_nd,2019-01-27T20:28:00-05:00,1,"A tractor to maintain museum grounds, statues, roller rink and weight room renovations and a comfort station were among the projects that legislators earmarked funds for through Nassau's Community Revitalization Program.",Howard Schnapp; Danielle Finkelstein; Shelby Knowles; Danielle Silverman; Barry Sloan; Johnny Milano
8,newsday,https://www.newsday.com/travel/long-island-getaways/hamptons-inns-bedside-reading-weekend-1.26393562?utm_source=tw_nd,2019-01-30T08:52:00-05:00,1,"The Baker House 1650 in East Hampton is participating in a special weekend for book lovers, March 1-3.",Yuxi Liu
9,newsday,https://www.newsday.com/long-island/father-son-conference-wyandanch-1.26476744?utm_source=tw_nd,2019-01-26T22:26:38-05:00,0,NA,NA
10,newsday,https://www.newsday.com/long-island/federal-workers-shutdown-long-island-1.26476399?utm_source=tw_nd,2019-01-27T10:32:04-05:00,2,"Rina Brooke and her daughter, Sophia Kieseheuer, of North Babylon, bring their donations to the Angels of Long Island center in Patchogue.",Howard Simmons
10,newsday,,,2,John Pantijaras and Tasha Chiuchiolp stack shelves at the nonprofit Angels of Long Island in East Patchogue with items collected to help furloughed federal workers.,Howard Simmons
11,newsday,https://www.newsday.com/long-island/nassau/bayville-seaside-inn-1.26505299?utm_source=tw_nd,2019-01-27T17:51:00-05:00,2,"The vacant waterfront land where developers want to build an event center, spa and restaurant on Bayville Avenue in Bayville.",Howard Simmons
11,newsday,,,2,The Tides Motor Inn at 1 Bayville Ave.,Howard Simmons
12,newsday,https://www.newsday.com/long-island/politics/nassau-spending-1.26434856?utm_source=tw_nd,2019-01-27T20:28:00-05:00,1,"A tractor to maintain museum grounds, statues, roller rink and weight room renovations and a comfort station were among the projects that legislators earmarked funds for through Nassau's Community Revitalization Program.",Howard Schnapp; Danielle Finkelstein; Shelby Knowles; Danielle Silverman; Barry Sloan; Johnny Milano
13,newsday,https://www.newsday.com/long-island/suffolk/shoreham-nuclear-plant-protection-1.26435904?utm_source=tw_nd,2019-01-27T13:57:00-05:00,1,An aerial view of the never-opened Shoreham nuclear plant in July 2015.,Daniel Brennan
14,newsday,https://www.newsday.com/long-island/politics/nassau-spending-1.26434856?utm_source=tw_nd,2019-01-27T20:28:00-05:00,1,"A tractor to maintain museum grounds, statues, roller rink and weight room renovations and a comfort station were among the projects that legislators earmarked funds for through Nassau's Community Revitalization Program.",Howard Schnapp; Danielle Finkelstein; Shelby Knowles; Danielle Silverman; Barry Sloan; Johnny Milano
15,newsday,https://www.newsday.com/long-island/nassau/pope-francis-bishop-long-island-1.26660058?utm_source=tw_nd,2019-01-31T22:58:06-05:00,1,Auxiliary Bishop Robert Brennan of the Diocese of Rockville Centre before Mass at the Parish of St. Patrick in Bay Shore in May.,Newsday/Thomas A. Ferrara
16,newsday,https://www.newsday.com/long-island/politics/laura-curran-cold-war-veterans-1.26671727?utm_source=tw_nd,2019-01-31T18:24:52-05:00,1,Nassau County Executive Laura Curran speaks on Jan. 17 in Mineola.,Howard Schnapp
17,newsday,https://www.newsday.com/entertainment/republic-airport-tv-movie-shoots-1.26613575?utm_source=tw_nd,2019-01-31T06:00:07-05:00,2,"A scene from the ""Madam Secretary"" episode ""Mitya"" filmed at Republic Airport in East Farmingdale.",CBS / Sarah Shatz
