Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,startribune,http://video.startribune.com/overnight-forecast-snow-stays-away-for-a-bit/505638532/,"February 10, 2019 — 11:07pm",0,NA,NA
2,startribune,http://www.startribune.com/warren-returning-to-south-carolina-following-campaign-launch/505636542/,"February 10, 2019 — 5:09pm",1,"Sen. Elizabeth Warren (D-Mass.),","author"":""TAMIR KALIFA"",""credit"":""New York Times"","""
3,startribune,http://www.startribune.com/hunt-is-on-for-whoever-fatally-shot-2-women-in-apartment-in-quiet-minneapolis-neighborhood/505634602/,"February 11, 2019 — 5:12am",2,Two women were fatally shot in this apartment complex near University and Central in Minneapolis.,"author"":""Erin Adler"",""credit"":""Star Tribune"","""
3,startribune,,,2,Two women were shot and killed in this apartment complex.,NA
4,startribune,http://www.startribune.com/tabloid-ceo-s-lawyer-says-enquirer-didn-t-extort-jeff-bezos/505634682/,"February 10, 2019 — 7:45pm",1,"FILE- In this Sept. 13, 2018, file photo Jeff Bezos, Amazon founder and CEO, speaks at The Economic Club of Washington's Milestone Celebration in Washington. An attorney for the head of the National Enquirer\u2019s parent company says the tabloid didn\u2019t commit extortion or blackmail by threatening to publish Bezos\u2019 explicit photos. Elkan Abramowitz represents American Media Inc. CEO David Pecker. He defended the tabloid\u2019s practice as a \u201cnegotiation\u201d in an interview Sunday, with ABC News.(AP Photo\/Cliff Owen, File)","author"":""Cliff Owen"",""credit"":""Associated Press"","""
5,startribune,http://www.startribune.com/virginia-lieutenant-governor-resists-calls-to-step-down/505631942/,"February 10, 2019 — 7:10pm",1,Virginia Gov. Ralph Northam,"author"":""Katherine Frey"",""credit"":""Associated Press"","""
6,startribune,http://www.startribune.com/following-fatal-crash-residents-push-for-changes-at-scott-county-intersection/505640402/,"February 11, 2019 — 5:49am",1,Cars were moving slowly eastbound on 185th St. E. at Natchez Avenue.,"author"":""Jeff Wheeler"",""credit"":""Star Tribune"","""
7,startribune,http://www.startribune.com/blackface-left-a-stain-in-minnesota-yearbooks-too/505618922/,"February 9, 2019 — 7:14pm",1,Revelers from the St. Paul Winter Carnival in the early 1900s proudly wore blackface.,"author"":""Minnesota Historical Society"",""credit"":null,"""
8,startribune,http://www.startribune.com/why-is-hip-hop-practically-uninvited-from-the-grammys-show/505530612/,"February 9, 2019 — 2:39pm",1,Kendrick Lamar,"author"":""Brian van der Brug"",""credit"":""Los Angeles Times"","""
9,startribune,http://www.startribune.com/looking-back-at-minnesotas-past-presidential-candidates-success-klobuchar-pawlenty-bachmann-mondale-humphrey-mccarthy/502089941/,"February 10, 2019",0,NA,NA
10,startribune,http://www.startribune.com/eight-things-to-know-about-amy-klobuchar/505579901/,"February 10, 2019 — 2:31pm",1,U.S. Sen. Amy Klobuchar rode in the Twin Cities Pride Parade in 2017.,"author"":""Glen Stubbe"",""credit"":""Star Tribune"","""
11,startribune,http://www.startribune.com/senator-amy-klobuchar-s-is-running-for-president-2020-democrat-midwest-minnesota/505633892/,"February 11, 2019 — 5:32am",1,Sen. Amy Klobuchar wiped snow from her hair after announcing she is running for President of the United States Sunday afternoon.,"author"":""Anthony Souffle"",""credit"":""Star Tribune"","""
