Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,triblive,https://triblive.com/news/wire-stories/millions-of-americans-could-be-surprised-as-their-tax-refunds-shrink/,"
| Sunday, February 10, 2019 6:05 p.m",1,"Doors at the Internal Revenue Service in the Henry M. Jackson Federal Building are locked and covered with blinds as a sign posted advises that the office will be closed during the partial government shutdown Wednesday, Jan. 16, 2019, in Seattle.",NA
2,triblive,https://triblive.com/opinion/editorial-tarentum-tax-shaming-is-only-fair/,"unday, February 10, 2019 4:30 p.m",1,An aerial view of Tarentum. Tarentum Council has approved publicizing the names of property owners delinquent in paying their borough property taxes. Names will go on the borough’s website on May 1 unless the taxes owed are paid or the owners get on a payment plan.,Steve Adams | Tribune-Review
3,triblive,https://triblive.com/lifestyles/more-lifestyles/take-some-lessons-then-hit-the-slope-rink-with-confidence/,"arrop


| Sunday, February 10, 2019 12:01 a.m",9,Samantha Yothers of Greensburg skates after her lesson at Kirk S. Nevin Arena in Greensburg.,JoAnne Klimovich Harrop | Tribune-Review
3,triblive,,,9,One of the learn-to-ski lessons at Boyce Park in Plum. Students learn everything from the equipment to how to make it down the hill safely.,JoAnne Klimovich Harrop | Tribune-Review
3,triblive,,,9,"Dorothy Bennett (front) of Hampton and (from left) Priscila Hayetian of Fox Chapel, Vesta Homayoun of Fox Chapel and Sophia Feng of Aspinwall show off their skating skills after lessons at Alpha Ice Complex in Harmarville.",JoAnne Klimovich Harrop | Tribune-Review
3,triblive,,,9,"Kanaka Vantaku of Oakdale was learning to ski at Boyce Park in Plum. He says it wasn’t easy but it was so much fun he plans to come back. He was at the park with seveeral members of hiss family. He says ""skiing is a sport we all can do together.""",JoAnne Klimovich Harrop | Tribune-Review
3,triblive,,,9,"Dorothy Bennett of Hampton (from left), Priscila Hayetian of Fox Chapel, Vesta Homayoun of Fox Chapel and Sophia Feng of Aspinwall show off their skating skills after lessons at Alpha Ice Complex in Harmarville.",NA
3,triblive,,,9,"Kanaka Vantaku of Oakdale (second from right) was learning to ski at Boyce Park in Plum. He is shown here after a ski lesson with members of his family. He says ""skiing is a sport we all can do together.""",NA
3,triblive,,,9,Kanaka Vantaku of Oakdale (right) is learning to ski at Boyce Park in Plum. He was with several family members and says “skiing is a sport we all can do together.”,NA
3,triblive,,,9,"Dorothy Bennett, of Hampton (from left), Priscila Hayetian of Fox Chapel, Vesta Homayoun of Fox Chapel and Sophia Feng of Aspinwall show off their skating skills after lessons at Alpha Ice Complex in Harmarville.",NA
3,triblive,,,9,"After a lesson, skiers venture down the hill at Boyce Park in Plum.",NA
4,triblive,https://triblive.com/lifestyles/food-drink/can-this-hempfield-couple-bake-it-like-buddy-tune-in-and-find-out/,"unday, February 10, 2019 12:01 a.m",8,Gigi Thomas mixes ingredients for icing while cake layers rest.,TLC-International
4,triblive,,,8,Adding more skulls to the black side of her cake.,TLC-International
4,triblive,,,8,Randy Thomas pokes tentacle details into fondant for his “Till Death Do Us Part” cake.,TLC-International
4,triblive,,,8,Randy Thomas talks to Buddy “Cake Boss” Valastro and judges Mauro and Maddalena Castano.,TLC-International
4,triblive,,,8,"Randy and Gigi Thomas laugh while prepping fondant and buttercream for their ""Bake It Like Buddy"" cake.",TLC-International
4,triblive,,,8,"Gigi Thomas is both a baker and a sommelier, and enjoys learning and educating others about wine.",Mary Pickels | Tribune-Review
4,triblive,,,8,"Gigi Thomas’ mother made her this gingerbread man quilt, which hangs in her Hempfield commercial kitchen.",Mary Pickels | Tribune-Review
4,triblive,,,8,Gigi Thomas frosts a cake in her home-based commercial kitchen in Hempfield. She and husband Randy Thomas will appear on “Bake It Like Buddy” on Feb. 16.,Mary Pickels | Tribune-Review
5,triblive,https://triblive.com/news/world/el-paso-wall-doesnt-mean-walls-are-the-answer-locals-say/,"| Sunday, February 10, 2019 11:14 a.m",6,"In this Tuesday, Jan. 22, 2019, photo, sections of metal wall are staged as a new barrier is built along the Texas-Mexico border near downtown El Paso. Such barriers have been a part of El Paso for decades and are currently being expanded, even as the fight over President Donald Trump’s desire to wall off the entire U.S.-Mexico border. (AP Photo/Eric Gay)",(AP Photo/Eric Gay)
