Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,projo,https://www.providencejournal.com/news/20190210/third-ri-person-charged-in-theft-of-boston-police-officers-gun,"Feb 10, 2019 at 4:30 PM 	Feb 10, 2019 at 7:41 PM",2,"""Kyle Benford, 24, of Providence, has been charged with stealing a Boston police officer's gun."",",NA
1,projo,,,2,"""Melissa Dacier, left, and Neish Rivera are accused of stealing a gun from a Boston police officer. [Pawtucket Police]"",","[Pawtucket Police]"","
2,projo,https://www.providencejournal.com/news/20190210/bert-pelican-stranded-in-ri-finally-flies-south---by-plane,"Feb 10, 2019 at 11:41 AM 	Feb 10, 2019 at 9:06 PM",6,"""Bert the Pelican waits in the terminal at North Central airport for his flight to Maryland Sunday morning. [The Providence Journal / Kris Craig]"",","[The Providence Journal / Kris Craig]"","
2,projo,,,6,"""Chi Chan explains to pilot Jonathan Pascua how to handle Bert the pelican. [The Providence Journal / Kris Craig]"",","[The Providence Journal / Kris Craig]"","
2,projo,,,6,"""Jonathan Pascua loads Bert into his plane at North Central Airport Sunday morning. [The Providence Journal / Kris Craig]"",","[The Providence Journal / Kris Craig]"","
2,projo,,,6,"""Pilot Jonathan Pascua secures Bert in the plane. [The Providence Journal / Kris Craig]"",","[The Providence Journal / Kris Craig]"","
2,projo,,,6,"""Jonathan Pascua, a Coventry firefighter, flies for Pilots N' Paws and generally works with four-legged creatures. He volunteered to take the pelican to Maryland. [The Providence Journal / Kris Craig]"",","[The Providence Journal / Kris Craig]"","
2,projo,,,6,"""Bert the Pelican peeks out from his enclosure as he waits in the terminal at North Central Airport for his flight to Maryland Sunday morning. In the background is veterinarian Chi Chan. [The Providence Journal / Kris Craig]"",","[The Providence Journal / Kris Craig]"","
3,projo,https://www.providencejournal.com/sports/20190210/best-bets-sports-betting-picks-for-sunday-feb-10-2019,"Feb 10, 2019 at 6:00 AM 	",1,NA,NA
4,projo,https://www.providencejournal.com/news/20190208/pedestrian-struck-by-car-near-tf-green-airport,"Feb 8, 2019 at 9:09 PM 	Feb 8, 2019 at 10:41 PM",0,NA,NA
5,projo,https://www.providencejournal.com/news/20190208/police-ri-strippers-who-stole-boston-cops-gun-were-paid-for-sex,"Feb 8, 2019 at 6:13 PM 	Feb 8, 2019 at 6:59 PM",1,"""Melissa Dacier, left, and Neish Rivera are accused of stealing a handgun from a Boston police officer. [Pawtucket Police Department]"",","[Pawtucket Police Department]"","
6,projo,https://www.providencejournal.com/news/20190208/trash-police-city-says-goal-of-recycling-checks-is-improvement-not-punishment--video-audio,"Feb 8, 2019 at 5:08 PM 	Feb 8, 2019 at 8:16 PM",5,"""Al Giuliano, environmental specialist with the Providence Department of Public Works, looks through a recycle bin on Pavillion Avenue. [The Providence Journal/Steve Szydlowski]"",","[The Providence Journal/Steve Szydlowski]"","
6,projo,,,5,"""A DPW enviromental specialist finds plastic bags that do not belong in the recycle bin. [The Providence Journal/Steve Szydlowski]"",","[The Providence Journal/Steve Szydlowski]"","
6,projo,,,5,"""A tag on a recycle bin is marked contaminated and a check mark notes items that should not be put into recycle bins. [The Providence Journal/Steve Szydlowski]"",","[The Providence Journal/Steve Szydlowski]"","
6,projo,,,5,"""Steven Badessa, environmental specialist with the City of Providence Department of Public Works, removes a plastic bag from a recycle bin on Pavillion Avenue. [The Providence Journal/Steve Szydlowski]"",","[The Providence Journal/Steve Szydlowski]"","
6,projo,,,5,"""Providence Department of Public Works associate director of environmental control Francisco Ramirez talks about the recycle program in the city. [The Providence Journal/Steve Szydlowski]"",","[The Providence Journal/Steve Szydlowski]"","
7,projo,https://www.providencejournal.com/news/20190208/providence-police-seek-help-in-search-for-suspect-who-allegedly-stabbed-homeless-woman,"Feb 8, 2019 at 3:44 PM 	Feb 8, 2019 at 3:59 PM",1,"""Photo and vidoe provided by Providence Police"",","Photo and vidoe provided by Providence Police"","
8,projo,https://www.providencejournal.com/news/20190208/hells-angels-member-from-north-providence-held-without-bail-on-drug-firearms-charges,"Feb 8, 2019 at 9:20 AM 	Feb 8, 2019 at 5:58 PM",1,"""Douglas Leedham [Rhode Island State Police photo]"",","[Rhode Island State Police photo]"","
9,projo,https://www.providencejournal.com/news/20190208/health-department-13-flu-deaths-in-ri-this-winter,"Feb 8, 2019 at 2:11 PM 	Feb 8, 2019 at 5:18 PM",1,"""A nurse gives a flu shot at a clinic in the Warwick Mall in 2014. The Providence Journal, file / Glenn Osmundson"",",NA
10,projo,https://www.providencejournal.com/news/20190208/jury-clears-tiverton-officers-in-2012-arrest-of-fisherman,"Feb 8, 2019 at 12:01 PM 	Feb 8, 2019 at 2:24 PM",1,"""Former Tiverton Police Chief Thomas Blakey (pictured), police officers and the town were cleared in the civil trial, which alleged that officers used force and violence against Charles Maguire without provocation after being called to his house in June 2012. [The Providence Journal file / Glenn Osmundson]"",","[The Providence Journal file / Glenn Osmundson]"","
11,projo,https://www.providencejournal.com/news/20190208/providence-patrolwoman-accused-of-using-racial-slur-retires,"Feb 8, 2019 at 11:14 AM 	Feb 8, 2019 at 4:31 PM",1,"""Rhonda Kessler [The Providence Journal file/ 2004]"",","[The Providence Journal file/ 2004]"","
12,projo,https://www.providencejournal.com/news/20190208/strong-winds-tonight-into-saturday-could-knock-out-power,"Feb 8, 2019 at 8:04 AM 	Feb 8, 2019 at 2:05 PM",0,NA,NA
13,projo,https://www.providencejournal.com/news/20190208/mattel-hasbro-results-show-diverging-post-toys-r-us-paths,"Feb 8, 2019 at 7:12 AM 	Feb 8, 2019 at 2:39 PM",1,"""Mr. Potato Head greets visitors to the Hasbro offices in Pawtucket. [The Providence Journal file/ Sandor Bodo]"",","[The Providence Journal file/ Sandor Bodo]"","
14,projo,https://www.providencejournal.com/news/20190208/amazon-ceo-bezos-tells-of-enquirer-threats-to-publish-revealing-pics,"Feb 8, 2019 at 7:07 AM 	Feb 8, 2019 at 7:58 AM",1,"""In this Sept. 13, 2018, file photo Jeff Bezos, Amazon founder and CEO, speaks at The Economic Club of Washington's Milestone Celebration in Washington. Bezos says the National Enquirer is threatening to publish nude photographs of him unless his private investigators back off the tabloid that detailed the billionaire's extramarital affair (AP Photo/Cliff Owen, File)"",","(AP Photo/Cliff Owen, File)"","
15,projo,https://www.providencejournal.com/news/20190207/strip-club-romance-led-to-assault-charge-against-providence-police-lieutenant,"Feb 7, 2019 at 9:28 AM 	Feb 7, 2019 at 4:10 PM",1,"""Providence Police Lt. Joseph Donnelly, right, leaves Kent County District Court with his lawyer, William Murphy. [The Providence Journal / Brian Amaral]"",","[The Providence Journal / Brian Amaral]"","
