Org, Total, Tweets, RTs, NoLinks, Output, #Articles
daytondailynews,878,62,86,703,495
hartfordcourant,419,25,2,388,300
DispatchAlerts,1087,190,40,845,688
Tennessean,1161,76,164,822,634
detroitnews,1167,557,8,579,461
theobserver,531,348,5,150,133
ohiodotcom,436,240,14,170,80
dallasnews,1058,176,93,789,766
courierjournal,963,257,15,593,383
chicagotribune,2176,200,54,1828,664
DMRegister,1174,302,23,827,393
StarAdvertiser,763,39,9,661,605
startelegram,1572,426,20,870,429
projo,173,56,2,115,109
Enquirer,720,120,48,446,413
denverpost,898,110,0,762,737
PittsburghPG,1127,124,7,966,831
starledger,40,0,0,40,40
ocregister,1119,66,2,1047,1047
bostonherald,513,214,3,253,249
azcentral,1107,243,26,677,547
reviewjournal,1083,56,7,966,609
baltimoresun,666,129,6,505,431
nytimes,2992,608,7,2277,963
Suntimes,968,163,20,712,645
sltrib,786,14,12,748,633
ArkansasOnline,591,186,15,383,241
WSJ,1333,15,3,1246,878
MiamiHerald,868,264,110,442,389
DeseretNews,1542,256,6,1272,563
ABQJournal,417,34,3,380,380
USATODAY,3198,732,154,1986,780
WaPoExpress,197,18,18,121,91
mcall,3132,2058,30,939,279
stltoday,1188,436,68,662,327
freep,1192,197,147,737,567
toledonews,213,34,11,134,118
amNewYork,184,3,2,179,149
WiStateJournal,813,0,172,630,615
Newsday,227,17,2,206,138
PioneerPress,635,5,7,622,552
sacbee_news,2568,1128,512,796,345
washingtonpost,2005,81,22,1809,1769
latimes,1084,201,7,775,540
KCStar,842,267,1,474,472
DandC,797,79,97,548,431
dbnewsjournal,272,13,7,242,240
SunSentinel,2166,258,31,1845,805
OWHnews,1714,364,96,1240,453
ajc,3262,276,44,2752,994
sfchronicle,807,134,34,589,459
virginianpilot,385,25,17,334,269
SpokesmanReview,196,116,13,56,53
StarTribune,821,83,9,708,563
memphisnews,1634,62,294,1172,445
dailyherald,605,15,1,584,583
sdut,715,38,28,646,637
delawareonline,621,8,112,401,396
statesman,424,70,7,330,285
TheBuffaloNews,1627,661,8,862,839
AsburyParkPress,1894,576,52,894,372
mercnews,1320,11,8,1299,1297
TribLIVE,3102,348,4,2675,685
TheNewsPress,242,58,20,157,157
HeraldTribune,511,54,3,453,410
NYDailyNews,1161,157,20,897,787
orlandosentinel,2102,6,82,2004,979
PhillyInquirer,828,13,1,814,814
TheOklahoman,150,64,4,60,30
tampabay,2356,188,6,2146,941
nypost,3159,74,2,2972,2755
jaxdotcom,410,57,1,330,318
knoxnews,876,9,119,644,420
ndn,276,59,27,159,155
indystar,1751,220,249,964,562
pbpost,706,102,4,596,488
BostonGlobe,2478,240,8,1772,1416
ThePlainDealer,148,114,28,3,3
newsobserver,1080,26,46,974,381
journalsentinel,592,5,36,524,466
seattletimes,678,92,10,561,558
ExpressNews,296,40,1,251,251
