Index,Source,P/C
1,No Credit,                              
2,No Image,                              
3,Photo: Republica/Pixabay,                              
4,Photo: Ty Greenlees,                              
5,Photo: Ezeakiel Estes/ Ohio Attorney General's Office,                              
6,Photo: Lisa Powell,                              
7,Photo: Mark Fisher,                              
8,Photo courtesy Miami Valley Jails,                              
9,Photo: 3dman_eu,                              
10,Photo: Lawrence Budd,                              
11,Photo: William A. Kast,                              
12,Photo: Allen Farst,                              
13,Photo: 88th Air Base Wing Public Affairs,                              
14,Photo by Jim Otte.,                              
15,Photo: Sindre Strom/Via Pexels,                              
16,Photo: Tom Gilliam,                              
17,Photo: Lauren Pack,                              
18,(PATRICK RAYCRAFT/HC),                              
19,(Mara Lavitt),                              
20,(Turnbridge),                              
21,(right) at Story and Soil Coffee in Hartford.,                              
22,(Courtesy of Artichoke Basille's),                              
23,(Matthew D'Alto/Sportech PLC),                              
24,(Megan Merrigan),                              
25,(rick hartford / hc),                              
26,(Don Stacom),                              
27,(Christopher Keating),                              
28,(Dan Addison),                              
29,(Harford Courant),                              
30,(Sophie Giraud / IFC FILMS),                              
31,(Courtesy of Sea Tea Improv),                              
32,(Courtesy of the town of West Hartford),                              
33,(Screen Time Trivia),                              
34,(Sean Fowler),                              
35,(Creative Commons Photo from Wikipedia Erik Fenderson),                              
36,(Urban Engineers / STV),                              
37,(Erin Stewart),                              
38,(Steve Smith),                              
39,(UConn),                              
40,(Dennis Hohenberger / Special to Courant Community),                              
41,(Mara Lee),                              
42,"(Meghan Leigh Barnard)"",",                              
43,"""Fred Squillante"",",                              
44,"""Photo by Kyle Robertson"",",                              
45,"[Deb Cram/Foster's Daily Democrat]"",",                              
46,"[Courtesy of Christine Allison]"",",                              
47,"[CAPITOL SQUARE REVIEW AND ADVISORY BOARD]"",",                              
48,"[Tyler Schank]"",",                              
49,"[Adam Cairns]"",",                              
50,"[Joshua A. Bickel]"",",                              
51,"""Photo by Tyler Schank"",",                              
52,"[Kyle Robertson]"",",                              
53,"(Photo supplied by David Stein)."",",                              
54,"(1991)"",",                              
55,"(1988)"",",                              
56,"[Publishers Clearing House]"",",                              
57,"[COURTESY BOBBY FLOYD]"",",                              
58,"[Photo Courtesy of Art Van]"",",                              
59,"[Brooke LaValley]"",",                              
60,"(Credit Cardinal Health)"",",                              
61,"[COURTESY OF JOJO HUMMEL]"",",                              
62,"[Ohio House photo]"",",                              
63,"[Courtesy of Graeter's]"",",                              
64,"Photo credit: Joan Marcus"",",                              
65,"[COURTESY CHRISTY BERTOLO]"",",                              
66,"[House photo]"",",                              
67,"[Greg Lovett/The Palm Beach (Fla.) Post]"",",                              
68,"[Michael Ares/The Palm Beach (Fla.) Post]"",",                              
69,"[Photo courtesy of Kenneth Moyer Jr.]"",",                              
70,"[Scott Heckel/Canton Repository]"",",                              
71,"""Photo by Joshua A. Bickel"",",                              
72,"[Honda]"",",                              
73,"[Arshot Investment Corp.]"",",                              
