New Org, Input, RTs, NoLink, Output
usatoday                                 ,3198       ,732        ,152        ,1986
wsj ,1333 ,15 ,3 ,1246
nytimes                                  ,2992       ,608        ,7          ,2277
latimes                                  ,1084       ,201        ,7          ,775
chicagotribune                           ,2176       ,200        ,4          ,1878
nypost                                   ,3159       ,74         ,2          ,2972
washingtonpost                           ,2005       ,81         ,22         ,1809
newsday                                  ,227        ,17         ,2          ,206
startribune                              ,821        ,83         ,9          ,708
nydailynews                              ,1161       ,157        ,20         ,897
denverpost                               ,898        ,110        ,0          ,762
Dallasnews                               ,1058       ,176        ,93          ,789
azcentral                                ,1107       ,243        ,26         ,677
tampabay                                 ,2356       ,188        ,6          ,2146
bostonglobe                              ,2478       ,240        ,8          ,1772
seattletimes                             ,678        ,92         ,10         ,561
starledger                               ,40         ,0          ,0          ,40
phillyinquirer                           ,828        ,13         ,1          ,814
amnewyork                                ,184        ,3          ,2          ,179
Theplaindealer                           ,148        ,114        ,28         ,3
sfchronicle                              ,807        ,134        ,34         ,589
pioneerpress                             ,635        ,5          ,7          ,622
orlandosentinel                          ,2102       ,6          ,82         ,2004
sdut                                     ,715        ,38         ,28         ,646
kcstar                                   ,842        ,267        ,1          ,474
staradvertiser                           ,763        ,39         ,9          ,661
ajc                                      ,3262       ,276        ,44         ,2752
freep                                    ,1192       ,197        ,147        ,737
pittsburghpg                             ,1127       ,124        ,7          ,966
hartfordcourant                          ,419        ,25         ,2          ,388
owhnews                                  ,1714       ,364        ,96         ,1240
mercnews                                 ,1320       ,11         ,8          ,1299
journalsentinel                          ,592        ,5          ,36         ,524
virginianpilot                           ,385        ,25         ,17         ,334
stltoday                                 ,1188       ,436        ,69         ,661
suntimes                                 ,968        ,163        ,20         ,712
sacbee_news                              ,2568       ,1128       ,512        ,796
ocregister                               ,1119       ,66         ,2          ,1047
thebuffalonews                           ,1627       ,661        ,8          ,862
sunsentinel                              ,2166       ,258        ,31         ,1845
arkansasonline                           ,591        ,186        ,15         ,388
startelegram                             ,1572       ,426        ,20         ,854
miamiherald                              ,868        ,264        ,110        ,442
dispatchalerts                           ,1087       ,190        ,40         ,845
reviewjournal                            ,1083       ,56         ,7          ,966
enquirer                                 ,720        ,120        ,48         ,446
baltimoresun                             ,666        ,129        ,12         ,500
indystar                                 ,1751       ,220        ,249        ,964
newsobserver                             ,1080       ,26         ,46         ,974
courierjournal                           ,963        ,257        ,15         ,593
theobserver                              ,531        ,348        ,5          ,150
daytondailynews                          ,878        ,62         ,86         ,703
expressnews                              ,296        ,40         ,1          ,251
theoklahoman ,150 ,64 ,4 ,60
owhnews ,1714 ,364 ,96 ,1240
statesman                                ,424        ,70         ,7          ,330
triblive                                 ,3102       ,348        ,4          ,2675
abqjournal ,417 ,34 ,3 ,380
bostonherald                     ,513 ,214 ,3 ,253
pbpost                                   ,706        ,102        ,4          ,596
mcall                                    ,3132       ,2058       ,30         ,939
sltrib                                   ,786        ,14         ,12         ,748
dandc                                    ,797        ,79         ,97         ,548
toledonews                               ,213        ,34         ,11         ,134
dmregister                               ,1174       ,302        ,23         ,827
detroitnews ,1167 ,557 ,8 ,579
tennessean                               ,1161       ,76         ,164        ,822
knoxnews                                 ,876        ,9          ,119        ,644
dailyherald ,605 ,15 ,1 ,584
wistatejournal                           ,813        ,0          ,172        ,630
deseretnews ,1542 ,256 ,6 ,1272
spokesmanreview                          ,196        ,116        ,13         ,56
memphisnews                              ,1634       ,62         ,294        ,1172
ohiodotcom                               ,436        ,240        ,14         ,170
projo                                    ,173        ,56         ,2          ,115
