News Org,News org, Professional, Citizen, Unmarked, No Image, No Credit, Total (P+C+NoC+Unmarked)
Albuquerque Journal,ABQJournal,234,2,23,108,96,35
Atlanta Journal-Constitution,ajc,687,14,114,325,180,99
amNewYork,amNewYork,140,4,191,2,4,33
Arkansas Democrat Gazette,ArkansasOnline,67,1,42,79,97,20
Asbury Park Press,AsburyParkPress,1812,34,709,32,6,256
Arizona Republic,azcentral,1299,28,259,82,1,158
The Baltimore Sun,baltimoresun,426,18,20,167,6,47
Boston Globe,BostonGlobe,1682,12,187,103,171,205
"Boston Herald, Boston Sunday Herald",bostonherald,500,2,26,8,63,59
Chicago Tribune,chicagotribune,744,11,163,80,122,104
Courier-Journal,courierjournal,1192,4,147,135,1,134
"Daily Herald, The Sunday Herald",dailyherald,959,2,150,82,142,125
Dallas Morning News,dallasnews,582,6,136,324,78,80
Democrat And Chronicle,DandC,1533,9,175,44,3,172
Dayton Daily News,daytondailynews,112,9,21,155,269,41
Daytona Beach News-Journal,dbnewsjournal,554,6,135,1,121,81
The News Journal ,delawareonline,1543,33,139,54,11,172
The Denver Post/The Sunday Denver Post,denverpost,931,0,19,268,135,108
Deseret Morning News,DeseretNews,1396,48,288,0,24,175
The Detroit News,detroitnews,1080,26,116,11,1,122
Columbus Dispatch,DispatchAlerts,867,29,139,70,122,115
Des Moines Register,DMRegister,1759,21,78,40,3,186
Cincinnati Enquirer,Enquirer,1450,12,107,36,5,157
San Antonio Express-News,ExpressNews,691,2,201,11,8,902
Detroit Free Press,freep,2042,16,185,84,6,224
Hartford Courant,hartfordcourant,556,14,30,15,60,66
Sarasota Herald-Tribune,HeraldTribune,700,6,224,42,169,109
Indianapolis Star,indystar,2174,22,221,61,2,241
Florida Times-Union,jaxdotcom,594,5,91,6,74,76
Milwaukee Journal Sentinel,journalsentinel,1606,65,238,53,0,190
Kansas City Star,KCStar,413,13,55,24,77,55
Knoxville News Sentinel,knoxnews,2600,213,263,21,8,308
Los Angeles Times,latimes,800,2,70,0,3,87
Morning Call,mcall,357,19,11,25,3,39
Commercial Appeal,memphisnews,2240,16,213,36,9,247
The Mercury News,mercnews,2624,35,329,265,192,318
The Miami Herald,MiamiHerald,491,18,97,35,85,69
Naples Daily News,ndn,548,52,122,12,1,72
Newsday,Newsday,126,3,136,21,7,27
News & Observer,newsobserver,547,24,120,75,112,80
Daily News,NYDailyNews,899,52,62,25,7,102
New York Post,nypost,2579,149,413,291,43,318
New York Times,nytimes,1944,2,265,94,78,228
Orange County Register,ocregister,2083,5,688,61,220,299
"Akron Beacon Journal, Sunday Akron Journal",ohiodotcom,207,2,6,4,17,23
Orlando Sentinel,orlandosentinel,867,20,113,153,171,117
Omaha World-Herald,OWHnews,1714,13,161,32,763,265
The Palm Beach Post,pbpost,962,52,112,26,148,127
Philadelphia Inquirer,PhillyInquirer,1055,35,191,8,111,139
St. Paul Pioneer Press,PioneerPress,644,8,78,170,57,78
Pittsburgh Post-Gazette,PittsburghPG,1519,8,136,17,48,171
Providence Journal,projo,142,0,2,24,16,16
Las Vegas Review-Journal,reviewjournal,1825,24,113,2,66,202
Sacramento Bee,sacbee_news,312,23,58,74,51,44
The San Diego Union-Tribune,sdut,541,4,116,124,42,70
Seattle Times,seattletimes,1364,2,140,81,45,155
San Francisco Chronicle,sfchronicle,1422,9,156,7,55,164
The Salt Lake Tribune,sltrib,932,2,149,32,133,121
Spokesman Review,SpokesmanReview,40,6,25,2,2,7
Honolulu Star-Advertiser,StarAdvertiser,510,1,92,162,2,60
The Star-Ledger,starledger,25,0,4,7,4,3
Fort Worth Star-Telegram,startelegram,547,34,127,22,28,73
Star Tribune,StarTribune,486,3,95,106,32,61
Austin American-Statesman,statesman,364,11,40,3,124,53
St. Louis Post-Dispatch,stltoday,969,2,103,62,252,132
South Florida Sun-Sentinel,SunSentinel,670,22,201,204,58,95
Chicago Sun-Times,Suntimes,834,26,138,18,75,107
Tampa Bay Times (formerly St. Petersburg Times),tampabay,628,5,112,142,353,109
Tennessean,Tennessean,3222,154,262,50,1,363
Buffalo News,TheBuffaloNews,715,19,39,194,72,84
News-Press,TheNewsPress,612,17,87,15,3,71
Charlotte Observer,theobserver,218,5,66,16,28,31
Oklahoman,TheOklahoman,76,0,9,2,22,10
Plain Dealer Plain Dealer Sunday,ThePlainDealer,12,0,0,0,0,1
Blade,toledonews,462,3,9,0,52,52
Tribune Review,TribLIVE,477,27,62,14,686,125
USA Today,USATODAY,4400,40,429,62,9,487
Virginian-Pilot,virginianpilot,506,4,52,30,11,57
Express,WaPoExpress,116,3,52,9,20,19
Washington Post,washingtonpost,2006,34,218,402,41,229
Wisconsin State Journal,WiStateJournal,1005,7,101,199,86,119
Wall Street Journal Eastern Central Western,WSJ,1369,5,193,23,98,166
