daytondailynews, 411
hartfordcourant, 660
DispatchAlerts, 1157
Tennessean, 3639
detroitnews, 1223
theobserver, 317
dallasnews, 802
courierjournal, 1344
chicagotribune, 1040
DMRegister, 1861
StarAdvertiser, 605
startelegram, 736
Enquirer, 1574
denverpost, 1085
PittsburghPG, 1711
starledger, 33
ocregister, 2996
bostonherald, 591
azcentral, 1587
reviewjournal, 2028
baltimoresun, 470
nytimes, 2289
Suntimes, 1073
sltrib, 1216
ArkansasOnline, 207
WSJ, 1665
MiamiHerald, 691
DeseretNews, 1756
ABQJournal, 355
USATODAY, 4878
WaPoExpress, 191
mcall, 390
stltoday, 1326
freep, 2249
toledonews, 526
amNewYork, 339
WiStateJournal, 1199
Newsday, 272
PioneerPress, 787
sacbee_news, 444
washingtonpost, 2299
latimes, 875
KCStar, 558
DandC, 1720
SunSentinel, 951
OWHnews, 2651
ajc, 995
sfchronicle, 1642
virginianpilot, 573
SpokesmanReview, 73
StarTribune, 616
dailyherald, 1253
sdut, 703
statesman, 539
TheBuffaloNews, 845
mercnews, 3180
TribLIVE, 1252
NYDailyNews, 1020
orlandosentinel, 1171
PhillyInquirer, 1392
TheOklahoman, 107
nypost, 3184
knoxnews, 3084
indystar, 2419
pbpost, 1274
BostonGlobe, 2052
ThePlainDealer, 12
newsobserver, 803
journalsentinel, 1909
seattletimes, 1551
ExpressNews, 902
