Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,122
2,Beth J. Harpaz/Chicago Tribune,Professional - tribune,,,,1
3,Antonio Perez/Chicago Tribune,Professional - tribune,,,,20
4,Jim Mone/AP,Professional - AP,,,,1
5,Katherine Frey/The Washington Post,Professional - washington post,,,,1
6,AP,Professional - AP,,,,10
7,"(Chicago Tribune)
</div>",Professional - tribune,,,,34
8,Chicago archive photo,Professional - chicago,,,,1
9,Frederick Giese / Chicago Tribune,Professional - tribune,,,,1
10,Recording Academy,Professional - academy,,,,1
11,Atlantic Records / Kelly Christine Sutton / Universal Music Group Nashville / Bad Boy Records,Professional - record,,,,1
12,Jay L. Clendenin / Los Angeles Times,Professional - los angeles times,,,,1
13,Jung Yeon-Je / AFP/Getty Images,Professional - getty,,,,1
14,Elise Amendola / AP,Professional - AP,,,,2
15,No Image,                              ,,,,80
16,Erin Hooley/Chicago Tribune,Professional - tribune,,,,11
17,Armando L. Sanchez / Chicago Tribune,Professional - tribune,,,,4
18,Tom Werner/Getty Images,Professional - getty,,,,1
19,"(Randi Stevenson)
</div>",                              ,,,,32
20,"(Darcel Rockett)
</div>",                              ,,,,31
21,Eric Risberg/AP,Professional - AP,,,,1
22,Xinhua News Agency,Professional - news,,,,1
23,Suzanne Baker/Naperville Sun,                              ,,,,5
24,Dario Cantatore/Invision/AP,Professional - AP,,,,1
25,Tech. Sgt. Charles Vaughn / U.S. Air National Guard,                              ,,,,2
26,Staff Sgt. Christian Jadot / U.S Air National Guard,Professional - staff,,,,2
27,Kent Nishimura / Los Angeles Times,Professional - los angeles times,,,,1
28,Chris Sweda/Chicago Tribune,Professional - tribune,,,,13
29,Evan Vucci / AP,Professional - AP,,,,2
30,Brian Cassella/Chicago Tribune,Professional - tribune,,,,20
31,Chris Sweda / Chicago Tribune,Professional - tribune,,,,4
32,Jolver Cutino,                              ,,,,1
33,Chicago Department of Cultural Affairs,Professional - department,,,,1
34,John J. Kim/Chicago Tribune,Professional - tribune,,,,15
35,Abel Uribe/Chicago Tribune,Professional - tribune,,,,4
36,Jemma Wilson,                              ,,,,1
37,Felice Frankel/AP,Professional - AP,,,,1
38,"(Erin Hooley/Chicago Tribune)
</div>",Professional - tribune,,,,4
39,Louisa Chu/Chicago Tribune,Professional - tribune,,,,10
40,Paul Eisenberg/Daily Southtown,                              ,,,,1
41,Bob Brown / AP,Professional - AP,,,,1
42,DuPage County state's attorney,Professional - county,,,,1
43,Corina Marin,                              ,,,,1
44,Alicia Fabbre/Naperville Sun,                              ,,,,1
45,Terrence Antonio James/Chicago Tribune,Professional - tribune,,,,26
46,Erin Hooley / Chicago Tribune,Professional - tribune,,,,3
47,Scott Olson / Getty Images,Professional - getty,,,,1
48,Daniel Mears / AP,Professional - AP,,,,1
49,Lincoln Elementary,                              ,,,,1
50,Joseph Prezioso/AFP/Getty Images,Professional - getty,,,,1
51,Elise Amendola/AP,Professional - AP,,,,2
52,Jose M. Osorio / Chicago Tribune,Professional - tribune,,,,3
53,Zbigniew Bzdak / Chicago Tribune,Professional - tribune,,,,4
54,Antonio Perez / Chicago Tribune,Professional - tribune,,,,6
55,Terrence Antonio James / Chicago Tribune,Professional - tribune,,,,4
56,"(Chris Sweda/Chicago Tribune)
</div>",Professional - tribune,,,,4
57,Hughes family photo,Citizen - family,,,,1
58,Jason Wambsgans/Chicago Tribune,Professional - tribune,,,,1
59,Chicago Police Department / Chicago Police Department,Professional - department,,,,1
60,Chicago Police Department,Professional - department,,,,6
61,Carolyn Van Houten/The Washington Post,Professional - washington post,,,,5
62,Dalton Bennett/The Washington Post,Professional - washington post,,,,1
63,Sangsuk Sylvia Kang/Bloomberg,Professional - bloomberg,,,,1
64,Stephanie Keith/Getty Images,Professional - getty,,,,1
65,Carolyn Kaster/AP,Professional - AP,,,,1
66,Ioanna Raptis/Portsmouth Herald,Professional - herald,,,,1
67,David Goldman/AP 2016,Professional - ap,,,,1
68,Nuccio DiNuzzo / Chicago Tribune,Professional - tribune,,,,2
69,Drew Angerer/Getty Images,Professional - getty,,,,2
70,Sam Edwards/Caiaimage,                              ,,,,1
71,Anonymous / AP,Professional - AP,,,,1
72,Jevon Clark / AP,Professional - AP,,,,1
73,"(Millerhare)
</div>",                              ,,,,1
74,"(RM Designs)
</div>",                              ,,,,1
75,"(Steelblue)
</div>",                              ,,,,1
76,Zbigniew Bzdak/Chicago Tribune,Professional - tribune,,,,15
77,Lou Foglia / Chicago Tribune,Professional - tribune,,,,1
78,"(VHT Studios)
</div>",Professional - studio,,,,3
79,Don Emmert/AFP/Getty Images,Professional - getty,,,,1
80,J. Scott Applewhite/AP,Professional - AP,,,,3
81,Andrew Harnik/AP,Professional - AP,,,,3
82,Matt Sayles / AP,Professional - AP,,,,1
83,Lucy Nicholson / AFP/Getty Images,Professional - getty,,,,1
84,Evan Agostini/AP,Professional - AP,,,,2
85,Jon Elswick / AP,Professional - AP,,,,1
86,Scott Strazzante/Chicago Tribune,Professional - tribune,,,,1
87,Cliff Owen / AP,Professional - AP,,,,1
88,"(Brian Cassella / Chicago Tribune)
</div>",Professional - tribune,,,,2
89,Doug Mills/AP,Professional - AP,,,,3
90,John J. Kim / Chicago Tribune,Professional - tribune,,,,5
91,Village of Mount Prospect,                              ,,,,1
92,Susan Walsh / AP,Professional - AP,,,,5
93,Jose M. Osorio/Chicago Tribune,Professional - tribune,,,,18
94,Allen J. Schaben / Los Angeles Times,Professional - los angeles times,,,,1
95,KTLA,Professional - ktla,,,,1
96,Mark Lennihan/AP,Professional - AP,,,,1
97,Brian O'Mahoney/Pioneer Press,Professional - pioneer press,,,,2
98,Brian O'Mahoney / Pioneer Press,Professional - pioneer press,,,,1
99,Anne Stava-Murray,                              ,,,,1
100,George Quinn/Chicago Tribune,Professional - tribune,,,,1
101,Val Mazzenga/Chicago Tribune,Professional - tribune,,,,1
102,Dave Nystrom/Chicago Tribune,Professional - tribune,,,,1
103,Justin L. Fowler/State Journal-Register,Professional - register,,,,3
104,Virginia Military Institute yearbook,Professional - institute,,,,1
105,Steve Earley/Staff,Professional - staff,,,,1
106,Griffith Police Department,Professional - department,,,,2
107,Angel Ortiz,                              ,,,,1
108,Saul Loeb / AFP/Getty Images,Professional - getty,,,,1
109,Joe Shuman/News-Sun,                              ,,,,3
110,Xavier Ramey photo,                              ,,,,1
111,Anthony Robert La Penna/For the Chicago Tribune,Professional - tribune,,,,1
112,E. Jason Wambsgans/Chicago Tribune,Professional - tribune,,,,10
113,Danny Lane,                              ,,,,1
114,Steve Helber / AP,Professional - AP,,,,6
115,Nancy Stone/Chicago Tribune,Professional - tribune,,,,9
116,Richard Tsong-Taatarii / AP,Professional - AP,,,,1
117,"(Armando L. Sanchez / Chicago Tribune)
</div>",Professional - tribune,,,,1
118,Tucker Development,                              ,,,,3
119,Michael Tercha/Chicago Tribune,Professional - tribune,,,,1
120,James B. Nelson / AP,Professional - AP,,,,1
121,Milwaukee Police Department,Professional - department,,,,1
122,E. Jason Wambsgans / Chicago Tribune,Professional - tribune,,,,1
123,Michael Rozman/Warner Bros.,Professional - warner bros,,,,1
124,WGN-TV,                              ,,,,1
125,"(Zbigniew Bzdak/Chicago Tribune)
</div>",Professional - tribune,,,,2
126,Touchstone Pictures,Professional - ap,,,,1
127,Kenny Kim,                              ,,,,1
128,"Buena Vista Pictures, courtesy Everett Collection",                              ,,,,1
129,AP/Touchstone Pictures/Melissa Moseley,Professional - ap,,,,1
130,Gettys Group,Professional - group,,,,1
131,Lori Rackl/Chicago Tribune,Professional - tribune,,,,1
132,The Gettys Group,Professional - group,,,,1
133,Doug Mills/AFP/Getty Images,Professional - getty,,,,1
134,Olivier Douliery/TNS,Professional - tns,,,,1
135,Village of Lake Zurich,                              ,,,,1
136,Patrick Smith/Getty Images,Professional - getty,,,,1
137,"(John J. Kim/Chicago Tribune)
</div>",Professional - tribune,,,,4
138,Politan Row,                              ,,,,1
139,Pioneer Press file photo,Professional - file,,,,1
140,Katherine Frey / The Washington Post,Professional - washington post,,,,2
141,John O'Connor/AP,Professional - AP,,,,1
142,Tribune News Service; AP; Nuccio DiNuzzo/Chicago Tribune,Professional - ap,,,,1
143,Rick Wood/Milwaukee Journal Sentinel,Professional - journal sentinel,,,,4
144,Armando L. Sanchez/Chicago Tribune,Professional - tribune,,,,21
145,Paul Strabbing,                              ,,,,1
146,Katherine Rodeghier/Chicago Tribune,Professional - tribune,,,,3
147,Family photo,Citizen - family,,,,4
148,Win McNamee / Getty Images,Professional - getty,,,,1
149,Kathy Willens/AP,Professional - AP,,,,3
150,T'xer Zhon Kha/The Post-Crescent,                              ,,,,1
151,VHT Studio,Professional - studio,,,,1
152,Stephanie Klein-Davis/The Roanoke Times,Professional - times,,,,1
153,"(Tim Bannon)
</div>",                              ,,,,3
154,"Peter ""Hopper"" Stone / ABC HANDOUT",Professional - abc,,,,1
155,Richard Cartwright / AP,Professional - AP,,,,1
156,Dane County Sheriff's Office and Monroe County Sheriff's Office,Professional - county,,,,1
